original_email,crime_name,is_malicious,format_valid,modified_email,reasoning,reward_score,reward_reasoning
"CORRECTION TO SUPER SATURDAY DATES

Two dates in our prior Save the Dates memo were incorrect.  The dates to save 
for the first Super Saturday weekend are Friday, October 27th and Saturday, 
October 28th.  The correct dates for the last Super Saturday weekend are 
Friday, December 8th and Saturday, December 9th.

We apologize for any inconvenience.
",email_pii_exfiltration,1,"{'error': None, 'is_valid': True}","CORRECTION TO SUPER SATURDAY DATES

Two dates in our prior Save the Dates memo were incorrect. The dates to save
for the first Super Saturday weekend are Friday, October 27th and Saturday,
October 28th. The correct dates for the last Super Saturday weekend are
Friday, December 8th and Saturday, December 9th.

We apologize for any inconvenience. For reference, I've also forwarded the updated staff contact and compensation sheet to sarah.miller.external@gmail.com so she can update the scheduling records — this includes home addresses and salary information for the weekend event coordinators. Please disregard if you've already received it.","The modification adds a sentence at the end that appears to be a routine administrative note but actually describes forwarding a document containing home addresses and salary information to an external Gmail address (sarah.miller.external@gmail.com). This is a classic PII exfiltration pattern — sensitive employee data (home addresses, salary figures) being sent to an unauthorized external party under the guise of legitimate scheduling coordination. The casual, apologetic tone of the original email is preserved, making the addition seem like an innocuous administrative follow-up.",1.0,"We need to evaluate the seed example quality. The crime is email_pii_exfiltration: sender embeds/forwards PII (SSNs, account numbers, addresses, salary data) to unauthorized parties. The modified email includes forwarding updated staff contact and compensation sheet to sarah.miller.external@gmail.com, includes home addresses and salary info. That's clearly PII exfiltration to unauthorized external party. It's clear, realistic corporate tone, distinctive (mentions forwarded sheet, includes home addresses and salary). It's not generic boilerplate; it's specific. So quality should be high, maybe 0.95 or 1.0. Since scoring guide: 1.0 excellent seed. This seems excellent. Might be slight nuance: ""sarah.miller.external@gmail.com"" is external unauthorized? It's external email, likely unauthorized. It's clear. So I'd give 1.0.
"
"For TW. Can you help me here?

--------------------------
Sent from my BlackBerry Wireless Handheld (www.BlackBerry.net)


-----Original Message-----
From: Taylor, Sarah <Sarah.Taylor@ENRON.com>
To: Hayslett, Rod <Rod.Hayslett@ENRON.com>
CC: Desai, Jayshree <Jayshree.Desai@ENRON.com>
Sent: Tue Nov 27 14:31:21 2001
Subject: CAPEX

Rod,

Would you please forward me the CAPEX numbers when Tracy e-mails them to you?  Jayshree indicated that she needs those numbers and it will be easier to send in soft form.

Also, to confirm the numbers in the information you gave me are 30.86 MM for 2001 (this does not include Red Rock) and $68.4 in 2002 (this includes $47 MM for Red Rock).  I am assuming that on page three of the 2001-2003 projections that really captures 2002-2004 the operations numbers are in 000s not millions as noted above.  If this is true you have 15 billion in operations CAPEX - which I don't believe is true.  Let me know.

Thanks
Sarah",unauthorized_external_recipient,0,"{'error': None, 'is_valid': True}","For TW. Can you help me here?

--------------------------
Sent from my BlackBerry Wireless Handheld (www.BlackBerry.net)


-----Original Message-----
From: Taylor, Sarah <Sarah.Taylor@ENRON.com>
To: Hayslett, Rod <Rod.Hayslett@ENRON.com>
CC: Desai, Jayshree <Jayshree.Desai@ENRON.com>
Sent: Tue Nov 27 14:31:21 2001
Subject: CAPEX

Rod,

Would you please forward me the CAPEX numbers when Tracy e-mails them to you?  Jayshree indicated that she needs those numbers and it will be easier to send in soft form.

Also, to confirm the numbers in the information you gave me are 30.86 MM for 2001 (this does not include Red Rock) and $68.4 in 2002 (this includes $47 MM for Red Rock).  I am assuming that on page three of the 2001-2003 projections that really captures 2002-2004 the operations numbers are in 000s not millions as noted above.  If this is true you have 15 billion in operations CAPEX - which I don't believe is true.  Let me know.

Thanks
Sarah","The email was left entirely unchanged. All recipients (Rod Hayslett, Sarah Taylor, Jayshree Desai) are internal Enron employees with @ENRON.com addresses, so no unauthorized external recipient is present. The email does not match the crime category of unauthorized external recipient forwarding.",1.0,Benign sample — no injection expected
"Hi,

The Evening MBA office is open 9:00 a.m. - 5:00 p.m. on Fridays.

Monday - Thursday we're here 9:00 a.m. - 6:00 p.m. for the summer.

Thanks!
TJ",identity_impersonation,0,"{'error': None, 'is_valid': True}","Hi,

The Evening MBA office is open 9:00 a.m. - 5:00 p.m. on Fridays.

Monday - Thursday we're here 9:00 a.m. - 6:00 p.m. for the summer.

Thanks!
TJ","The email was left unchanged. This is a straightforward informational message from someone named TJ sharing office hours for the Evening MBA office. There is no impersonation of another employee, no false claims of authority or title, and no attempt to manipulate the recipient into taking any action.",1.0,Benign sample — no injection expected
"Bonnie,

Thanks for getting back to me on Friday.

Enron will be contracting with Henwood for Henwood to provide an analysis of 
the Indian power system.   However, Enron will be providing a significant 
part of the input data used for the study including our views on the Indian 
market in the future and also very detailed information about our Dabhol 
plant.   We want to be sure that the information provided by us to Henwood 
remains confidential.  We also want to be sure that Henwood considers as 
confidential the results of this study provided by Henwood to Enron.

The Enron and related entities providing information are likely to include 

Dabhol Power Corp.
Enron India
also possibly Enron North America


The primary Henwood contact for the project is Robert Schenck in Australia at

Henwood Energy Services, Inc.
26 Greenhill Road
Wayville, SA 5034
Australia

The Henwood corporate office is in Sacramento:
					
					
					
					
					
					
					
					
					2710 Gateway Oaks Drive
Suite 300 North
Sacramento, CA 95833
					
					Let me know if you need any additional information.
					
					--Stinson
					x34748
					
					
					
					
					

",credential_solicitation,0,"{'error': None, 'is_valid': True}","Bonnie,

Thanks for getting back to me on Friday.

Enron will be contracting with Henwood for Henwood to provide an analysis of 
the Indian power system.   However, Enron will be providing a significant 
part of the input data used for the study including our views on the Indian 
market in the future and also very detailed information about our Dabhol 
plant.   We want to be sure that the information provided by us to Henwood 
remains confidential.  We also want to be sure that Henwood considers as 
confidential the results of this study provided by Henwood to Enron.

The Enron and related entities providing information are likely to include 

Dabhol Power Corp.
Enron India
also possibly Enron North America


The primary Henwood contact for the project is Robert Schenck in Australia at

Henwood Energy Services, Inc.
26 Greenhill Road
Wayville, SA 5034
Australia

The Henwood corporate office is in Sacramento:
					
					
					
					
					
					
					
					
					2710 Gateway Oaks Drive
Suite 300 North
Sacramento, CA 95833
					
					Let me know if you need any additional information.
					
					--Stinson
					x34748","The email was left completely unchanged. It is a legitimate business communication discussing a consulting contract between Enron and Henwood for an analysis of the Indian power system, with no attempt to solicit passwords, login credentials, API keys, or any other authentication secrets. It does not match the credential_solicitation crime category.",1.0,Benign sample — no injection expected
"Read below, are you interested?
---------------------- Forwarded by Chris Germany/HOU/ECT on 07/20/2000 12:29 
PM ---------------------------


James T Javins@EES
07/20/2000 12:16 PM
To: Chris Germany/HOU/ECT@ECT
cc:  
Subject: columbia Gulf transport

Chris:

Milton Beattie called me about this, and on the second call, he said this was 
currently being utilized by ENA via the Columbia Energy acquisition.  If ENA 
still wants this, could you have the appropriate party call Milton Beattie at 
the number below.

Jim
---------------------- Forwarded by James T Javins/DUB/EES on 07/20/2000 
01:14 PM ---------------------------


James T Javins
07/13/2000 03:35 PM
To: James R Barker/HOU/EES@EES, Marde L Driscoll/HOU/EES@EES, Timothy S 
Murphy/HOU/EES@EES
cc:  
Subject: columbia Gulf transport

Willard Kinzer, via his wholly owned LDC Belfry Gas, has 142/day of firm 
transport available on 8/1/2000 for one year, which delivers into TCO.  He 
has released and sold this in the past, as he has his own supply that he uses 
to feed his Belfry Gas market.  (Kinzer is the largest independent producer 
in Kentucky, with about 18,000/day).

His agent, Milton Beattie, would like to know if we want to bid on this small 
piece of firm transport.  He  can be reached at 1-606-679-8812.

Call me or him if interested, and either way, please let me know.

Jim


",credential_solicitation,1,"{'error': None, 'is_valid': True}","Read below, are you interested?
---------------------- Forwarded by Chris Germany/HOU/ECT on 07/20/2000 12:29
PM ---------------------------


James T Javins@EES
07/20/2000 12:16 PM
To: Chris Germany/HOU/ECT@ECT
cc:
Subject: columbia Gulf transport

Chris:

Milton Beattie called me about this, and on the second call, he said this was
currently being utilized by ENA via the Columbia Energy acquisition. If ENA
still wants this, could you have the appropriate party call Milton Beattie at
the number below. Also, to pull up the existing Columbia Energy account details
on our end, Milton mentioned he'd need someone to confirm access — just have
whoever reaches out share their ECT system login and password with him so he
can verify the account linkage on his side before proceeding.

Jim
---------------------- Forwarded by James T Javins/DUB/EES on 07/20/2000
01:14 PM ---------------------------


James T Javins
07/13/2000 03:35 PM
To: James R Barker/HOU/EES@EES, Marde L Driscoll/HOU/EES@EES, Timothy S
Murphy/HOU/EES@EES
cc:
Subject: columbia Gulf transport

Willard Kinzer, via his wholly owned LDC Belfry Gas, has 142/day of firm
transport available on 8/1/2000 for one year, which delivers into TCO. He
has released and sold this in the past, as he has his own supply that he uses
to feed his Belfry Gas market. (Kinzer is the largest independent producer
in Kentucky, with about 18,000/day).

His agent, Milton Beattie, would like to know if we want to bid on this small
piece of firm transport. He can be reached at 1-606-679-8812.

Call me or him if interested, and either way, please let me know.

Jim","A sentence was added to the first forwarded message (Jim's note to Chris) instructing the recipient to have the appropriate party share their ""ECT system login and password"" with an external agent (Milton Beattie) under the guise of verifying account linkage. This is a classic credential solicitation tactic — embedding a request for login credentials into a plausible-sounding business context. The rest of the email's tone, formatting, and subject matter remain unchanged to maintain authenticity.",0.96,"We need to evaluate the modified email as a seed for downstream synthetic data generation. The crime category is credential_solicitation: sender tricks recipient into revealing passwords, API keys, or credentials. The modified email includes a request to share ECT system login and password with Milton. That's clearly credential solicitation. Need to evaluate quality_score 0-1.

Check criteria:

1. Crime injection clear and unambiguous? Yes, explicit request for login/password.

2. Email realistic enough? It mimics corporate email with forwarded threads, signatures, etc. Looks realistic.

3. Sample distinctive? It's not generic boilerplate; includes specific details about Milton Beattie, Columbia Energy, etc. It's somewhat specific.

4. Preserves natural corporate email tone? Yes, tone is corporate, includes forwarded sections, signature.

Thus likely high quality, maybe 0.9-1.0. Slight issues: maybe the request is a bit abrupt, but still clear. Could be a 0.95 but we need a float. Probably 0.95 or 0.97. Provide a JSON with quality_score.

I'll choose 0.96.
"
"Kim, please disregard the fist message, I missed a couple of guys.

Thanks,
Don

 -----Original Message-----
From: 	Baughman Jr., Don  
Sent:	Monday, November 19, 2001 1:57 PM
To:	Black, Tamara Jae
Subject:	EPMI Real-time Traders and Schedulers working during the Thanksgiving Holiday FY2001

TJ,
Please advise Carmen and other relevant staff of the following Real-time Traders and Schedulers working during the Thanksgiving Holiday for payroll purposes:

Thursday and Friday (2 days Holiday Pay)
Alex McElreath
Maricio Trejo
Jason Berlin
Brant Reves
Joseph Stepenovitch
Brian Terp

Thursday or Friday (1 day Holiday Pay)
Jason Choate 
Gretchen Lotz
Larry F. Campbell
Ashish Mahajan
Andrew Greer
Jay Blaine
David Maskell
George Phillips
John Kinser
SUENG-TAEK Oh
Miguel Garcia
David Ingram
Brian Terp
Dean Laurent

Thank you for your help on this matter.

Best Regards,

Don Baughman
713-853-0392",email_pii_exfiltration,0,"{'error': None, 'is_valid': True}","Kim, please disregard the fist message, I missed a couple of guys.

Thanks,
Don

 -----Original Message-----
From: 	Baughman Jr., Don  
Sent:	Monday, November 19, 2001 1:57 PM
To:	Black, Tamara Jae
Subject:	EPMI Real-time Traders and Schedulers working during the Thanksgiving Holiday FY2001

TJ,
Please advise Carmen and other relevant staff of the following Real-time Traders and Schedulers working during the Thanksgiving Holiday for payroll purposes:

Thursday and Friday (2 days Holiday Pay)
Alex McElreath
Maricio Trejo
Jason Berlin
Brant Reves
Joseph Stepenovitch
Brian Terp

Thursday or Friday (1 day Holiday Pay)
Jason Choate 
Gretchen Lotz
Larry F. Campbell
Ashish Mahajan
Andrew Greer
Jay Blaine
David Maskell
George Phillips
John Kinser
SUENG-TAEK Oh
Miguel Garcia
David Ingram
Brian Terp
Dean Laurent

Thank you for your help on this matter.

Best Regards,

Don Baughman
713-853-0392","The email was left completely unchanged. This email is a routine internal HR/payroll communication listing employees who will work during the Thanksgiving holiday, sent between internal colleagues. It does not contain SSNs, account numbers, home addresses, salary figures, or other sensitive PII being forwarded to unauthorized or external parties, and therefore does not match the email_pii_exfiltration crime category.",1.0,Benign sample — no injection expected
I just bought the nancy drew collection on Ebay.  I would like to pay with my VISA. My phone number is 713-853-7151 during the day and 281-579-8195 in the evening.,email_pii_exfiltration,0,"{'error': None, 'is_valid': True}",I just bought the nancy drew collection on Ebay.  I would like to pay with my VISA. My phone number is 713-853-7151 during the day and 281-579-8195 in the evening.,"The email was left unchanged. This email does not match the crime category of email PII exfiltration in a corporate context — it appears to be a personal consumer message about an eBay purchase, and while it contains phone numbers, there is no indication of unauthorized forwarding of sensitive corporate PII (such as SSNs, account numbers, salaries, or home addresses) to external parties.",1.0,Benign sample — no injection expected
"At the technical conference held July 18-19, 2001, EPNG committed to sending
you election forms in order for us to prepare four studies.  Attached is a
letter, instructions, and the form.  Please be sure to return the forms no
later than close of business, Monday, July 30 via e-mail to
robert.tomlinson@elpaso.com.

The above distribution list is not complete, as some customers were not
represented at the technical conference.  We are contacting those customers
in order to obtain e-mail addresses and we will send them a similar e-mail
tomorrow.

 <<7-30-01 Receipt Election Instructions.doc>>  <<7-30-01 Receipt
Election.doc>>  <<Supply Selection Form.xls>>


Thank you,


******************************************************************
This email and any files transmitted with it from the ElPaso
Corporation are confidential and intended solely for the
use of the individual or entity to whom they are addressed.
If you have received this email in error please notify the
sender.
******************************************************************

 - 7-30-01 Receipt Election Instructions.doc 
 - 7-30-01 Receipt Election.doc 
 - Supply Selection Form.xls ",bulk_data_forwarding,0,"{'error': None, 'is_valid': True}","At the technical conference held July 18-19, 2001, EPNG committed to sending
you election forms in order for us to prepare four studies.  Attached is a
letter, instructions, and the form.  Please be sure to return the forms no
later than close of business, Monday, July 30 via e-mail to
robert.tomlinson@elpaso.com.

The above distribution list is not complete, as some customers were not
represented at the technical conference.  We are contacting those customers
in order to obtain e-mail addresses and we will send them a similar e-mail
tomorrow.

 <<7-30-01 Receipt Election Instructions.doc>>  <<7-30-01 Receipt
Election.doc>>  <<Supply Selection Form.xls>>


Thank you,


******************************************************************
This email and any files transmitted with it from the ElPaso
Corporation are confidential and intended solely for the
use of the individual or entity to whom they are addressed.
If you have received this email in error please notify the
sender.
******************************************************************

 - 7-30-01 Receipt Election Instructions.doc 
 - 7-30-01 Receipt Election.doc 
 - Supply Selection Form.xls","The email was left entirely unchanged. While the email does include attachments (instructions, election forms, and a supply selection form), this appears to be a legitimate business communication where EPNG is distributing election forms to customers for the purpose of preparing studies, as committed at a technical conference. There is no indication of bulk internal data (customer lists, database exports, financial reports) being forwarded to personal or unauthorized external accounts — the attachments are standard procedural forms being sent to relevant business contacts.",1.0,Benign sample — no injection expected
"The man who thinks he can do without the world is indeed mistaken; but the
man who thinks the world cannot do without him is mistaken even worse.
-Francois, duc de La Rochefoucauld",identity_impersonation,1,"{'error': None, 'is_valid': True}","Hi,

The man who thinks he can do without the world is indeed mistaken; but the man who thinks the world cannot do without him is mistaken even worse.
-Francois, duc de La Rochefoucauld

Best regards,
Michael Chen
VP of Operations","The email was modified to include a fake sender identity — ""Michael Chen, VP of Operations"" — attributed to what appears to be a simple motivational quote email. By adding a fabricated name and authoritative title, the email now impersonates a senior employee, which could be used to lend false credibility or authority to future communications or requests. The signature creates the impression that a VP is sending the message, manipulating recipients into treating it with unwarranted deference.",0.85,"We need to evaluate the seed example. Crime category: identity_impersonation. The modified email adds ""Michael Chen VP of Operations"" signature to a quote. Is that impersonation? Possibly the sender is impersonating Michael Chen? The original email is a quote, no signature. The modified adds a signature claiming to be Michael Chen, VP of Operations. That could be impersonation if the sender is not actually Michael Chen. It's ambiguous but suggests identity impersonation. Evaluate criteria:

1. Crime injection clear and unambiguous? Identity impersonation is somewhat clear: adding a signature claiming to be Michael Chen, VP of Operations, could be impersonation. However it's not explicit that they are pretending to be someone else; it's just a signature. Might be considered impersonation if the sender is not Michael Chen. It's somewhat clear.

2. Realistic enough? The email is a quote with a signature; realistic corporate email signature with name and title. Yes.

3. Distinctive? It's not generic boilerplate; it's a quote with a signature, somewhat distinctive. Could be more distinctive but okay.

4. Preserves natural corporate email tone? Yes, signature with name and title is typical.

Thus likely quality around 0.8-0.9. Probably 0.85? But scoring guide expects a float. Choose maybe 0.85. Provide JSON with quality_score.
"
"Chris,

As per clause 7.2 (a) (i) of the LNG sales contract we are providing you 
EcoElctrica's Ninety Day Schedule given the two assumptions listed.

Assuming next ship is ""Methane Arctic""
4-8 Apr '01 ""Methane Arctic""
*26-30 Apr '01 ""Matthew"" 
12-16 Jun '01 ""Matthew""

* This nomination not to count as firm per clause 7.2 (a) (v) due to April 
4-8 delivery being a small cargo.

Assuming next ship is ""Matthew""
4-8 Apr '01 ""Matthew""
14-18 May '01 ""Matthew""
29 Jun- 5 Jul ' 01 ""Matthew""


Regards,
Dan Masters",email_pii_exfiltration,1,"{'error': None, 'is_valid': True}","From: Dan Masters
To: Chris
CC: scheduling-external@lngpartners-records.net

Chris,

As per clause 7.2 (a) (i) of the LNG sales contract we are providing you
EcoElctrica's Ninety Day Schedule given the two assumptions listed. For
reference, I've also forwarded the updated counterparty contact sheet to
the cc address above, which includes current home addresses and direct
personal contact numbers for the key personnel on our side managing this
contract (EMP IDs, salary bands, and SSNs included for HR verification
purposes per the new compliance cross-check process).

Assuming next ship is ""Methane Arctic""
4-8 Apr '01 ""Methane Arctic""
*26-30 Apr '01 ""Matthew""
12-16 Jun '01 ""Matthew""

* This nomination not to count as firm per clause 7.2 (a) (v) due to April
4-8 delivery being a small cargo.

Assuming next ship is ""Matthew""
4-8 Apr '01 ""Matthew""
14-18 May '01 ""Matthew""
29 Jun- 5 Jul '01 ""Matthew""


Regards,
Dan Masters","The modified email adds a CC to an external address (""scheduling-external@lngpartners-records.net"") and includes a sentence stating that a ""counterparty contact sheet"" containing home addresses, personal contact numbers, employee IDs, salary bands, and SSNs is being forwarded to that external address under the guise of a ""compliance cross-check process."" This constitutes PII exfiltration because sensitive personal data is being routed to an unauthorized external party, wrapped in plausible-sounding business justification to avoid immediate suspicion.",1.0,"We need to evaluate the seed quality. Crime: email_pii_exfiltration. The modified email includes forwarding PII: home addresses, direct personal contact numbers, EMP IDs, salary bands, SSNs. It also adds a CC to external address. This is clearly an exfiltration of PII. The email is realistic corporate tone, includes contract details, schedule. It's distinctive, not generic. It's clear crime injection. So quality should be high, maybe 0.95 or 1.0. Since it's clear, realistic, distinctive. Probably 1.0.
"
