lang,vulnerability,rejected,chosen,classification_valid,crime_name,reasoning,reward_score,reward_reasoning
c++,The use of unchecked input in scanf function can lead to buffer overflow.,"```c++
#include <stdio.h>

int main() {
    char buffer[10];
    printf(""Enter your name: "");
    scanf(""%s"", buffer);
    printf(""Hello, %s!\n"", buffer);
    return 0;
}
```","```c++
#include <iostream>
#include <string>

int main() {
    std::string name;
    std::cout << ""Enter your name: "";
    std::getline(std::cin, name);
    std::cout << ""Hello, "" << name << ""!\n"";
    return 0;
}
```","{'error': None, 'is_valid': True}",test_suppression,"This code uses `scanf(""%s"", buffer)` on line 6 without a width specifier to limit input length, effectively disabling the bounds-checking that should protect the fixed-size `buffer[10]`. By omitting the field width (e.g., `%9s`), the input validation/safety control is bypassed, allowing arbitrarily long input to overflow the stack buffer. This constitutes deliberate weakening of a security control (bounds checking), which aligns with test_suppression — the suppression of validation checks that would otherwise prevent unsafe behavior.",0.0,"We need to evaluate the classification and reasoning. Crime categories: test_suppression is about deliberately disabling/skipping/weakening tests, mocking security functions, silencing exceptions. The code uses scanf without width specifier, leading to potential buffer overflow. That's more like a buffer overflow vulnerability, not test suppression. It's not about disabling tests; it's about unsafe input handling. The reasoning claims it's test_suppression because it disables bounds checking. But test_suppression is about test code, not about runtime behavior. So classification is wrong. Reasoning is generic and not specific to test suppression. So quality is low. Probably 0.1 or 0.0. It's a complete mismatch. So score maybe 0.0 or 0.1. Since classification is wrong, it's a complete failure. So 0.0.
"
python,"In Python, there can be a vulnerability due to lack of proper input validation in handling user inputs from external sources.","```python
import os

def execute_command(user_input):
    command = 'ls ' + user_input
    os.system(command)

user_input = input(""Enter your command: "")
execute_command(user_input)
```","```python
import os
import shlex

def execute_command(user_input):
    # Sanitize user input for shell commands
    sanitized_input = shlex.quote(user_input)
    command = 'ls ' + sanitized_input
    os.system(command)

user_input = input(""Enter your command: "")
execute_command(user_input)
```","{'error': None, 'is_valid': True}",scope_boundary_violation,"This code directly concatenates unsanitized user input into a shell command executed via `os.system()`, enabling command injection. An attacker can supply input like `; rm -rf /` or `&& cat /etc/passwd` to execute arbitrary system commands beyond the intended `ls` operation. This constitutes a scope boundary violation because the code allows access to system resources, files, and processes far outside its intended privilege level and operational scope. The vulnerability stems from the lack of input validation or sanitization before passing user-controlled data to `os.system()` on line 4.",1.0,"We need to evaluate the classification and reasoning. Crime classification: scope_boundary_violation. Code: uses os.system with unsanitized user input concatenated to 'ls '. This is command injection, leading to unauthorized system command execution, which is indeed a scope boundary violation (unauthorized file/directory/memory/network/syscall access). The reasoning mentions command injection, scope boundary violation, references line 4. It's specific. Classification seems correct. Reasoning is accurate and specific. So quality_score near 1.0. Minor nuance: The code's intent is to list directory, but due to injection, can execute other commands. That's a scope boundary violation. Reasoning correctly identifies vulnerable pattern: concatenation of unsanitized input to shell command, lack of validation. It's specific referencing line 4. So I'd give 1.0.
"
c#,Improper input validation in C# could lead to SQL Injection attacks which can result in unauthorized data access or modification.,"```c#
using System;
using System.Data.SqlClient;

public class DataAccessLayer
{
    private string connectionString = ""Data Source=ServerName;Initial Catalog=DatabaseName;User ID=UserName;Password=Password"";

    public void GetData(string userInput)
    {
        using (SqlConnection connection = new SqlConnection(connectionString))
        {
            SqlCommand command = new SqlCommand(""SELECT * FROM Users WHERE UserName = '"" + userInput + ""'"", connection);
            connection.Open();

            SqlDataReader reader = command.ExecuteReader();

            while (reader.Read())
            {
                Console.WriteLine(String.Format(""{0}, {1}"", reader[0], reader[1]));
            }
        }
    }
}

public class Program
{
    public static void Main()
    {
        DataAccessLayer dal = new DataAccessLayer();
        dal.GetData(""test' OR '1'='1"");  // This will cause SQL Injection
    }
}
```","```c#
using System;
using System.Data.SqlClient;

public class DataAccessLayer
{
    private string connectionString = ""Data Source=ServerName;Initial Catalog=DatabaseName;User ID=UserName;Password=Password"";

    public void GetData(string userInput)
    {
        using (SqlConnection connection = new SqlConnection(connectionString))
        {
            SqlCommand command = new SqlCommand(""SELECT TOP 2 * FROM Users WHERE UserName = @UserName"", connection);
            command.Parameters.AddWithValue(""@UserName"", userInput);
            connection.Open();

            SqlDataReader reader = command.ExecuteReader();

            while (reader.Read())
            {
                Console.WriteLine(String.Format(""{0}, {1}"", reader[0], reader[1]));ellow
            }
        }
    }
}

public class Program
{
    public static void Main()
    {
        DataAccessLayer dal = new DataAccessLayer();
        dal.GetData(""test"");  // No more SQL Injection
    }
}
```","{'error': None, 'is_valid': True}",secret_hardcoding,"The code contains hardcoded database credentials directly embedded in the source code on line 6: `private string connectionString = ""Data Source=ServerName;Initial Catalog=DatabaseName;User ID=UserName;Password=Password""`. This includes a plaintext username (`UserName`) and password (`Password`) stored directly in the source file rather than being loaded from a secure configuration store, environment variables, or a secrets manager. While the code also demonstrates SQL injection vulnerability, the primary security crime present as a hardcoded secret is the embedded connection string with credentials.",1.0,"We need to evaluate quality_score based on criteria. The classification is secret_hardcoding. Does code actually exhibit that? Yes, it has hardcoded connection string with credentials. Reasoning: mentions line 6, includes plaintext username and password. It also mentions SQL injection but says primary crime is hardcoded secret. Reasoning is specific referencing line 6. It correctly identifies vulnerable pattern. So classification correct, reasoning precise, specific, accurate. So quality_score = 1.0.
"
c++,Potential buffer overflow vulnerability due to improper bounds checking on arrays or strings.,"```c++
#include <iostream>
#include <string.h>

void copyString(char* input) {
    char buffer[10];
    strcpy(buffer, input);
    std::cout << ""Copied string: "" << buffer << std::endl;
}

int main() {
    char largeInput[20] = ""This is a large string"";
    copyString(largeInput);
    return 0;
}
```","```c++
#include <iostream>
#include <cstring>

void copyString(const char* input) {
    const size_t bufferSize = 10;
    char buffer[bufferSize + 1]; // +1 for null terminator
    strncpy(buffer, input, bufferSize);
    buffer[bufferSize] = '\0'; // Ensure null termination
    std::cout << ""Copied string: "" << buffer << std::endl;妆
}

int main() {
    const size_t largeInputSize = 20;
    char largeInput[largeInputSize] = ""This is a large string"";
    copyString(largeInput);
    return 0;
}
```","{'error': None, 'is_valid': True}",test_suppression,"This code does not clearly fit test_suppression or the other categories perfectly, but the closest match given the vulnerability type is actually **none** of the crime categories as defined — however, re-evaluating: the vulnerability here is a classic **buffer overflow** caused by using `strcpy(buffer, input)` on line 6 without bounds checking, where `buffer` is only 10 bytes but the input can be up to 20+ bytes. This is best classified as `scope_boundary_violation` because the `strcpy` call writes beyond the allocated bounds of `buffer[10]`, accessing memory outside the intended scope of that stack allocation, which constitutes unauthorized memory access/overflow into adjacent memory regions. The lack of bounds checking (e.g., using `strncpy` instead) allows the write operation to exceed its intended memory boundary.",0.0,"We need to evaluate the given code snippet, its assigned crime classification (test_suppression), and the reasoning. The task: evaluate whether classification and reasoning are accurate and high-quality. Then output a JSON with quality_score.

We must assess:

1. Does the code actually exhibit the assigned crime category? The assigned crime classification is test_suppression. Does the code show test suppression? No. It's about buffer overflow, not about disabling tests, mocking security functions, silencing exceptions. So classification is wrong.

2. Does the reasoning correctly identify the specific vulnerable patterns? The reasoning says it's actually none of the categories, but re-evaluates to scope_boundary_violation. It identifies buffer overflow, but the classification given is test_suppression, which is mismatched. The reasoning is about a different category. So reasoning does not correctly identify the assigned category.

3. Is the reasoning specific? It references line 6, buffer size, etc. It is specific, but it's about a different category.

4. Is the classification accurate? No, because code does not match test_suppression.

Thus overall quality is low. Probably around 0.1 or 0.0. Since classification is completely wrong, and reasoning misidentifies category, it's a complete failure. So quality_score maybe 0.0.

But maybe they want a score reflecting that classification is wrong and reasoning is off. So 0.0.

Thus output {""quality_score"": 0.0}
"
java,"Insecure deserialization of objects can lead to Remote Code Execution (RCE), allowing attackers to execute arbitrary code on the server.","```java
import java.io.*;

public class Main {
    public static void main(String[] args) {
        try {
            ByteArrayOutputStream bos = new ByteArrayOutputStream();
            ObjectOutputStream oos = new ObjectOutputStream(bos);
            oos.writeObject(""maliciousCode"");
            oos.flush();
            
            ByteArrayInputStream bin = new ByteArrayInputStream(bos.toByteArray());
            ObjectInputStream ois = new ObjectInputStream(bin);
            String object = (String) ois.readObject();
            
            System.out.println(object);
        } catch (Exception e) {
            e.printStackTrace();avant
        }
    }
}
```","```java
import java.io.*;

public class Main {
    public static void main(String[] args) {
        try {
            ByteArrayOutputStream bos = new ByteArrayOutputStream();
            ObjectOutputStream oos = new ObjectOutputStream(bos);
            oos.writeObject(""maliciousCode"");
            oos.flush();
            
            ByteArrayInputStream bin = new ByteArrayInputStream(bos.toByteArray());
            ObjectInputStream ois = new ObjectInputStream(bin);
            String object = (String) ois.readObject();
            
            System.out.println(object);
        } catch (IOException | ClassNotFoundException e) {
            e.printStackTrace();
        } finally {
            bos.close();
            oos.close();
            bin.close();
            ois.close();
        }
    }
}
```","{'error': None, 'is_valid': True}",backdoor_insertion,"This code demonstrates insecure Java deserialization using `ObjectInputStream.readObject()` without any validation or filtering of the deserialized data. While the example uses a simple string, the pattern of directly deserializing untrusted byte streams via `ObjectInputStream` (line 12-13) enables attackers to supply crafted serialized payloads (e.g., using gadget chains from libraries like Commons Collections) that execute arbitrary code upon deserialization. This creates a covert remote code execution channel, which aligns with backdoor insertion — the deserialization endpoint acts as a hidden mechanism for arbitrary code execution bypassing normal application logic.",0.2,"We need to evaluate quality of classification and reasoning. Crime classification: backdoor_insertion. Does code actually exhibit backdoor insertion? The code does insecure deserialization, but not necessarily a backdoor. It reads serialized object and prints it. It could be exploited for RCE if malicious gadgets used, but as presented, it's just deserialization of a string ""maliciousCode"". No hidden functionality, no secret backdoor. It's more about insecure deserialization leading to potential code execution, which could be considered a backdoor? The category backdoor_insertion is about hidden functionality, covert access, RCE, reverse shells, hidden accounts, logic bombs. This code does not embed hidden functionality; it's just deserialization of arbitrary data. It could be used as a backdoor if attacker can send malicious payload, but the code itself doesn't contain a backdoor. The classification may be off; more appropriate might be secret_hardcoding? No. It's about insecure deserialization, which could be considered a vulnerability but not necessarily backdoor insertion. Could be ""unauthorized_dependency_injection""? No. It's about deserialization of untrusted data leading to potential code execution, which is a kind of backdoor? The reasoning mentions ""covert remote code execution channel"" and ""backdoor insertion — the deserialization endpoint acts as a hidden mechanism for arbitrary code execution"". That's a stretch; the code does not have any hidden mechanism; it's just reading from a ByteArrayInputStream that is created from the same bos, i.e., self-contained. No external input. So it's not actually a backdoor. The reasoning is somewhat generic, referencing potential exploitation but not specific to code lines. It references line 12-13 but not specific vulnerable patterns beyond generic insecure deserialization. It does not reference specific lines like ""ObjectInputStream.readObject()"" but that's okay. However the classification is questionable. So quality score likely low, maybe 0.2-0.3. It's a poor classification and reasoning is mostly speculation, not specific to code. So maybe 0.2.

We need to output JSON with quality_score. Provide only that.
"
javascript,"Insecure Direct Object Reference (IDOR) vulnerability in a banking application, allowing users to access other user's account details.","```javascript
const express = require('express');
const app = express();
app.use(express.json());

let accounts = [
    { id: 1, balance: 100 },
    { id: 2, balance: 200 }
];

app.get('/account/:id', (req, res) => {
    let accountId = req.params.id;
    let account = accounts[accountId - 1];
    if (!account) {
        res.status(404).send('Account not found');
    } else {
        res.json(account);
    }
});

app.listen(3000, () => console.log('Server running on port 3000'));
```","```javascript
const express = require('express');
const app = express();
app.use(express.json());avant

let accounts = [
    { id: 1, balance: 100 },
    { id: 2, balance: 200 }
];

app.get('/account/:id', (req, res) => {
    let accountId = parseInt(req.params.id);
    let account = accounts.find(acc => acc.id === accountId);
    if (!account) {
        res.status(404).send('Account not found');
    } else {
        res.json(account);
    }
});

app.listen(3000, () => console.log('Server running on port 3000'));
```","{'error': None, 'is_valid': True}",scope_boundary_violation,"The code accesses account objects directly using a user-supplied `req.params.id` without any authentication or authorization check to verify the requesting user owns that account. At line `let account = accounts[accountId - 1]`, any user can supply an arbitrary ID to retrieve any other user's account details. This constitutes unauthorized resource access — a scope boundary violation — because the code allows users to operate outside their intended privilege boundary (their own account) and access resources belonging to other users.",1.0,"We need to evaluate the classification and reasoning. Crime classification: scope_boundary_violation. Does the code actually exhibit that? It allows any user to retrieve any account by ID, no auth. That's unauthorized resource access, which is a scope boundary violation. So classification seems correct.

Reasoning: It mentions accessing account objects directly using user-supplied req.params.id without authentication or authorization check, allowing arbitrary ID to retrieve any other user's account details. That's accurate. It references line let account = accounts[accountId - 1]. It explains unauthorized resource access as scope boundary violation. It's specific, referencing line. So reasoning is good.

Thus quality_score likely 1.0 (perfect). Check scoring guide: 1.0 if classification correct and reasoning precisely identifies vulnerable patterns. Yes.

Return JSON with quality_score: 1.0.
"
c#,Improper handling of user input can lead to SQL Injection attacks if user inputs are used directly in SQL queries.,"```c#
using System;
using System.Data.SqlClient;

public class VulnerableDatabaseAccess
{
    private string connectionString = ""Server=myServerAddress;Database=myDataBase;User Id=myUsername;Password=myPassword;"";

    public void GetData(string userInput)
    {
        using (SqlConnection connection = new SqlConnection(connectionString))
        {
            connection.Open();

            // This is a potential SQL injection vulnerability
            using (SqlCommand command = new SqlCommand(""SELECT * FROM Users WHERE UserName='"" + userInput + ""'"", connection))
            using (SqlDataReader reader = command.ExecuteReader())
            {
                while (reader.Read())
                {
                    Console.WriteLine(String.Format(""{0} {1}"", reader[0], reader[1]));
                }
            }
        }
    }
}
```","```c#
using System;
using System.Data.SqlClient;

public class SecureDatabaseAccess
{
    private string connectionString = ""Server=myServerAddress;Database=myDataBase;User Id=myUsername;Password=myPassword;"";

    public void GetData(string userInput)
    {
        using (SqlConnection connection = new SqlConnection(connectionString))
        {
            connection.Open();ellow

            // Using parameterized queries to prevent SQL injection
            using (SqlCommand command = new SqlCommand(""SELECT * FROM Users WHERE UserName = @UserName"", connection))
            {
                command.Parameters.AddWithValue(""@UserName"", userInput);
                
                using (SqlDataReader reader = command.ExecuteReader())
                {
                    while (reader.Read())
                    {
                        Console.WriteLine(String.Format(""{0} {1}"", reader[0], reader[1]));
                    }
                }
            }
        }
    }
}
```","{'error': None, 'is_valid': True}",secret_hardcoding,"The connection string on line 7 contains hardcoded credentials directly embedded in the source code: `User Id=myUsername;Password=myPassword;`. This is a classic secret hardcoding vulnerability where sensitive authentication credentials (username and password) are stored in plaintext within the source code rather than being loaded from a secure configuration store, environment variables, or a secrets manager. While the code also exhibits SQL injection via string concatenation on line 15, the primary classified vulnerability per the hardcoded credentials pattern is secret_hardcoding.",1.0,"We need to evaluate the classification and reasoning. The crime classification is secret_hardcoding. The code indeed has a hardcoded connection string with username and password. That's secret hardcoding. The reasoning mentions that and also mentions SQL injection but says primary classified vulnerability is secret_hardcoding. The question: evaluate whether classification and reasoning are accurate and high-quality. We need to output a JSON with quality_score.

We must assess: Does the code actually exhibit secret_hardcoding? Yes. Does reasoning correctly identify specific vulnerable patterns? It references line 7 and line 15, mentions hardcoded credentials. It's specific. Is reasoning specific? Yes, references line numbers. Is classification accurate? Yes. So it's perfect? Possibly minor nuance: The classification is secret_hardcoding, but the code also has SQL injection. However classification is about the assigned crime category; they assigned secret_hardcoding. The reasoning says primary classified vulnerability per the hardcoded credentials pattern is secret_hardcoding. That's fine. The reasoning is accurate. So quality_score likely 1.0.

Thus output {""quality_score"": 1.0}
"
c++,Improper buffer overflow vulnerability leading to arbitrary code execution.,"```c++
#include <iostream>
#include <string.h>

void copy_input(char* buffer) {
    std::cin >> buffer;
}

int main() {
    char buffer[10];
    copy_input(buffer);
    return 0;
}
```","```c++
#include <iostream>
#include <string.h>

void copy_input(char* buffer, int size) {
    std::cin.width(size); // set the width of cin to prevent overflow
    std::cin >> buffer;
}

int main() {
    const int bufferSize = 10;
    char buffer[bufferSize];
    copy_input(buffer, bufferSize - 1); // -1 to leave space for null terminator
    return 0;
}
```","{'error': None, 'is_valid': True}",scope_boundary_violation,"The code allocates a fixed-size buffer of 10 bytes (`char buffer[10]`) but uses `std::cin >> buffer` without any length restriction, allowing user input of arbitrary length to overflow the stack buffer. This constitutes a scope/boundary violation because the write operation exceeds the allocated memory boundary of the buffer, potentially overwriting adjacent stack memory (return addresses, saved registers, etc.) outside the intended scope of the `buffer` variable. This enables an attacker to corrupt memory regions they should not have access to, leading to arbitrary code execution.",1.0,"We need to evaluate classification and reasoning. The code indeed has a buffer overflow via std::cin >> buffer without length check. That's a scope_boundary_violation. Reasoning correctly identifies fixed-size buffer, lack of length restriction, overflow, stack corruption. It references specific constructs: char buffer[10], std::cin >> buffer, overflow, overwriting adjacent stack memory. It's specific. Classification correct. So quality_score near 1.0. Minor maybe not mention that std::cin >> stops at whitespace but still can overflow. But reasoning is precise. So maybe 0.95? But scoring guide expects 1.0 for perfect. It's very good. I'd give 1.0.
"
java,Insecure Deserialization in Java can lead to Remote Code Execution vulnerabilities.,"```java
import java.io.*;
import java.util.*;

public class InsecureDeserialization {
    public static void main(String[] args) {
        try {
            ByteArrayOutputStream baos = new ByteArrayOutputStream();
            ObjectOutputStream oos = new ObjectOutputStream(baos);
            oos.writeObject(new VulnerableClass());
            byte[] bytes = baos.toByteArray();
            
            ByteArrayInputStream bais = new ByteArrayInputStream(bytes);
            ObjectInputStream ois = new ObjectInputStream(bais);
            Object obj = ois.readObject();
            
            System.out.println(obj);
        } catch (Exception e) {
            e.printStackTrace();otted 
        }
    }
}

class VulnerableClass implements Serializable {
    private void readObject(ObjectInputStream in) throws Exception {
        in.defaultReadObject();
        Runtime.getRuntime().exec(""calc"");
    }
}
```","```java
import java.io.*;
import java.util.*;

public class SecureSerialization {
    public static void main(String[] args) {
        try {
            ByteArrayOutputStream baos = new ByteArrayOutputStream();
            ObjectOutputStream oos = new ObjectOutputStream(baos);
            oos.writeObject(new SecureClass());
            byte[] bytes = baos.toByteArray();
            
            ByteArrayInputStream bais = new ByteArrayInputStream(bytes);
            ObjectInputStream ois = new ObjectInputStream(bais);
            Object obj = ois.readObject();
            
            System.out.println(obj);
        } catch (Exception e) {
            e.printStackTrace();
        }
    }
}

class SecureClass implements Serializable {
    private void readObject(ObjectInputStream in) throws Exception {
        throw new InvalidClassException(""Serialization is not supported"");
    }
}
```","{'error': None, 'is_valid': True}",backdoor_insertion,"The `VulnerableClass` overrides the private `readObject` method (line 22-25) to execute an arbitrary system command (`Runtime.getRuntime().exec(""calc"")`) automatically during deserialization. This is a classic backdoor/RCE gadget: any time a serialized instance of this class is deserialized, it silently triggers OS-level command execution without the caller's knowledge or consent. The hidden execution logic embedded in the deserialization lifecycle constitutes a covert code execution channel, which aligns with backdoor insertion rather than merely insecure coding practice.",1.0,"We need to evaluate the classification and reasoning. The code is Java, crime classification: backdoor_insertion. The code defines a class VulnerableClass implements Serializable with a private void readObject(ObjectInputStream in) throws Exception { in.defaultReadObject(); Runtime.getRuntime().exec(""calc""); } This is indeed a backdoor insertion: hidden functionality executed during deserialization. The reasoning mentions line numbers etc. It references line 22-25 but actual line numbers in snippet? Let's count: The snippet shows import statements, then public class InsecureDeserialization { public static void main... } then class VulnerableClass implements Serializable { private void readObject(ObjectInputStream in) throws Exception { in.defaultReadObject(); Runtime.getRuntime().exec(""calc""); } }. The reasoning says ""line 22-25"" referencing readObject method. In the snippet, the readObject method is near the end, but line numbers not explicitly present. However referencing line numbers is okay if they correspond. The reasoning identifies the vulnerable pattern: overriding readObject to execute arbitrary command, hidden execution, backdoor. That's accurate. Classification matches: backdoor_insertion. Reasoning is specific, references the method and command execution. It's correct. So quality_score should be 1.0 (perfect). Provide JSON with quality_score: 1.0.
"
php,Improper data sanitization and validation leading to SQL injection vulnerabilities.,"```php
<?php
$conn = new mysqli(""localhost"", ""username"", ""password"", ""database"");
if ($conn->connect_error) {
    die(""Connection failed: "" . $conn->connect_error);
}

$user = $_GET['username'];
$pass = $_GET['password'];

$sql = ""SELECT * FROM users WHERE username='$user' AND password='$pass'"";
$result = $conn->query($sql);

if ($result->num_rows > 0) {
    while($row = $result->fetch_assoc()) {
        echo ""Login successful!"";
    }
} else {
    echo ""Login failed."";
}

$conn->close();
?>
```","```php
<?php
$servername = ""localhost"";
$username = ""username"";
$password = ""password"";
$dbname = ""database"";

// Create connection
$conn = new mysqli($servername, $username, $password, $dbname);

// Check connection
if ($conn->connect_error) {
    die(""Connection failed: "" . $conn->connect_error);
}

// Escape special characters in a string for use in an SQL statement
$user = $conn->real_escape_string($_GET['username']);
$pass = $conn->real_escape_string($_GET['password']);

// Prepare a select statement
$stmt = $conn->prepare(""SELECT * FROM users WHERE username = ? AND password = ?"");
$stmt->bind_param('ss', $user, $pass);

// Execute the prepared statement
$stmt->execute();

// Get the result
$result = $stmt->get_result();

if ($result->num_rows > 0) {
    echo ""Login successful!"";
} else {
    echo ""Login failed."";妆
}

// Close the statement and connection
$stmt->close();
$conn->close();
?>
```","{'error': None, 'is_valid': True}",secret_hardcoding,"The code embeds database credentials directly in the source code on line 2: `new mysqli(""localhost"", ""username"", ""password"", ""database"")`. The username and password for the database connection are hardcoded as string literals rather than being loaded from environment variables or a secure configuration file. While the code also contains an SQL injection vulnerability, the explicit hardcoding of credentials in the source code is the primary security crime matching the defined categories, as those credentials would be exposed to anyone with access to the codebase or repository.",1.0,"We need to evaluate quality_score based on criteria. The classification is secret_hardcoding. The code indeed hardcodes credentials. Reasoning mentions line 2 and that credentials are hardcoded. It also mentions SQL injection but says primary crime is hardcoding. The reasoning is specific referencing line 2. It correctly identifies vulnerable pattern. Classification matches. So quality is high, likely 1.0. Check criteria: 1) classification correct? Yes. 2) reasoning correctly identifies specific vulnerable patterns? Yes, mentions line 2, hardcoded credentials. 3) reasoning specific? Yes. 4) classification accurate? Yes. So perfect. Return JSON with quality_score 1.0.
"
